	index	Air Date	Category	Value	Question	Answer
0	14228	2010-12-31	A YEAR ENDING IN 0	$200	Holland & Belgium surrender to the Nazis	1940
1	14229	2010-12-31	DOUBLE VOWELS	$200	Maneuvers used in this sport include schussing, traversing & the snowplow	skiing
2	14230	2010-12-31	WINE FROM WHERE?	$200	This Canadian province's wine region includes Jordan & Vineland on the Niagara peninsula	Ontario
3	14231	2010-12-31	ELEMENT-ARY SCHOOL	$200	It's thought that in the early universe, this element made up 75% of all mass	hydrogen
4	14232	2010-12-31	THE COMPANY HE KEPT	$200	Steve Case was chairman of this Internet service provider from 1995 to 2001; then it had a big merger	AOL
5	14233	2010-12-31	"COUNTING DOWN TO ""MIDNIGHT"""	$200	"According to Eric Clapton, it's when ""we're gonna let it all hang down"""	"""After Midnight"""
6	14234	2010-12-31	A YEAR ENDING IN 0	$400	Nixon & JFK face off in the first televised presidential debate	1960
7	14235	2010-12-31	DOUBLE VOWELS	$400	Kinds of these sold in the U.S. include milds & robustas	coffee
8	14236	2010-12-31	WINE FROM WHERE?	$400	It's somewhat ironic that this Romanian region produces mainly white wine, like Tirnave Riesling	Transylvania
9	14237	2010-12-31	ELEMENT-ARY SCHOOL	$400	Of 75, 90 or 105, the closest to the number of elements that occur naturally on earth	90
10	14238	2010-12-31	THE COMPANY HE KEPT	$400	Kenneth lay went from riches to rags running this company from 1985 to 2002	Enron
11	14239	2010-12-31	"COUNTING DOWN TO ""MIDNIGHT"""	$400	"Wilson Pickett's Top 40 hits include ""I'm A Midnight Mover"" & this one"	"""In The Midnight Hour"""
12	14240	2010-12-31	A YEAR ENDING IN 0	$600	Babe Ruth begins playing for the Yankees	1920
13	14241	2010-12-31	DOUBLE VOWELS	$600	Writer Roald Dahl created this small race of people who have orange complexions & green hair	oompa-loompas
14	14242	2010-12-31	WINE FROM WHERE?	$600	South Dagestan has this country's longest wine-growing tradition	Russia
15	14243	2010-12-31	ELEMENT-ARY SCHOOL	$600	Around 3500 B.C. people were mixing copper & arsenic to make this; they soon found copper & tin worked better	bronze
16	14244	2010-12-31	THE COMPANY HE KEPT	$600	Last name of brothers James & Charles, who sold heaps of processed cheese to the U.S. Army during WWI	Kraft
17	14245	2010-12-31	"COUNTING DOWN TO ""MIDNIGHT"""	$600	"It's the ""swift"" '80s band that gave us ""Come On Eileen"""	Dexys Midnight Runners
18	14246	2010-12-31	A YEAR ENDING IN 0	$800	The U.N. strongly deplores the Soviet invasion of Afghanistan	1980
19	14247	2010-12-31	DOUBLE VOWELS	$800	"From the Narragansett for ""child"", it's a Native American infant or very young child"	papoose
20	14248	2010-12-31	WINE FROM WHERE?	$800	Chateau Musar is a respected label from this Mideast country between Syria & the sea	Lebanon
21	14249	2010-12-31	ELEMENT-ARY SCHOOL	$800	Named for a planet, it's the transuranic element with the lowest atomic number	Neptunium
22	14250	2010-12-31	THE COMPANY HE KEPT	$800	Roger B. Smith (& not me) ran this mega-company from 1981 to 1990	General Motors
23	14251	2010-12-31	"COUNTING DOWN TO ""MIDNIGHT"""	$800	Maria Muldaur sang us this desert tune	"""Midnight At The Oasis"""
24	14252	2010-12-31	A YEAR ENDING IN 0	$2,000	Lord Roberts commands British troops in Africa during the Boer War	1900
25	14253	2010-12-31	DOUBLE VOWELS	$1000	Words taken from this language include apartheid, trek & meerkat	Afrikaans
26	14254	2010-12-31	WINE FROM WHERE?	$1000	You know about Argentinian wines, but try the rose from this country, Argentina's littlest neighbor	Uruguay
27	14255	2010-12-31	ELEMENT-ARY SCHOOL	$1000	"The name of this chemical element is from the Greek for ""light-bearing"""	phosphorus
28	14256	2010-12-31	THE COMPANY HE KEPT	$1000	Over 60+ years, William Paley was pres., chairman of the board, founder chairman, acting chairman & chairman of this	CBS
29	14257	2010-12-31	"COUNTING DOWN TO ""MIDNIGHT"""	$1000	This Australian band broke up in 2002 after 25 years of politically charged rocking	Midnight Oil
30	14258	2010-12-31	SCULPTORS	$400	"When his ""Little Dancer Aged Fourteen"" was first exhibited in 881, it had fabric ballet shoes, a tutu & a wig"	(Edgar) Degas
31	14259	2010-12-31	"WATCH ""ING"" THE MOVIES"	$400	In this 1983 film Eddie Murphy & Dan Aykroyd switch lives	Trading Places
32	14260	2010-12-31	AIX-LA-CHAPELLE'S SHOW	$400	In 1668, 1748 & 1818 diplomatic congresses were held at Aix-La-Chapelle, now Aachen in this country	Germany
33	14261	2010-12-31	LOST	$400	"Hey hey, it's this Monkee--or rather his name--that precedes ""locker"", meaning the graves of all those lost at sea"	Davy Jones
34	14262	2010-12-31	NOT JUST AN AD WRITER	$400	"While working at an ad agency in 1953, he started work on a book called ""Catch-18"""	(Joseph) Heller
35	14263	2010-12-31	WORDS IN EUROPEAN COUNTRIES	$400	Away from the coast in Helsinki (6 letters)	inland (from Finland)
36	14264	2010-12-31	SCULPTORS	$800	"When Jacob Epstein was frowned on as a cathedral sculptor because hew was a Jew, the architect said, ""So was"" this person"	Jesus
37	14265	2010-12-31	"WATCH ""ING"" THE MOVIES"	$800	Nicolas Cage gambles he can drink himself to death before his money runs out in this movie	Leaving Las Vegas
38	14266	2010-12-31	AIX-LA-CHAPELLE'S SHOW	$800	The Triple Alliance at the 1668 Congress was England, Holland & this Nordic country under Charles XI	Sweden
39	14267	2010-12-31	LOST	$800	"It's no joke--the dog seen <a href=""http://www.j-archive.com/media/2010-12-31_DJ_17.jpg"" target=""_blank"">here</a> is noted for sniffing out lost travelers"	a Saint Bernard
40	14268	2010-12-31	NOT JUST AN AD WRITER	$800	Zelda Sayre broke her engagement with him (a broke adman) in 1919, but married him (now a successful novelist) in 1920	F. Scott Fitzgerald
41	14269	2010-12-31	WORDS IN EUROPEAN COUNTRIES	$800	An ache in Pamplona	pain (from Spain)
42	14270	2010-12-31	SCULPTORS	$1200	"Anthony Caro is known for placing works on the ground instead of this support, from the Latin for ""foot"""	a pedestal
43	14271	2010-12-31	"WATCH ""ING"" THE MOVIES"	$1200	In this 1988 movie Melanie Griffith schemes to take over when her boss takes a leave of abasence	Working Girl
44	14272	2010-12-31	AIX-LA-CHAPELLE'S SHOW	$1200	The 1748 Congress had global reach with agreements from Cape Breton to this fabric city of India, now called Chennai	Madras
45	14273	2010-12-31	LOST	$1200	This patron saint of lost causes shares a feast day with Simon the Zealot on October 28	St. Jude
46	14274	2010-12-31	NOT JUST AN AD WRITER	$1200	"He wrote snappy ad copy before turning to light verse like ""The Bronx? / No, thonx!"""	Ogden Nash
47	14275	2010-12-31	WORDS IN EUROPEAN COUNTRIES	$1200	Numerous in Nuremberg	many (from Germany)
48	14276	2010-12-31	SCULPTORS	$1600	"Aristide Maillol devoted his life to sculpting naked ladies, including ""three"" of these mythical maidens of the meadows"	nymphs
49	14277	2010-12-31	"WATCH ""ING"" THE MOVIES"	$1600	Drama in which Diane Keaton cruises nightclubs seeking one-night stands & more	Looking For Mr. Goodbar
50	14278	2010-12-31	LOST	$1,300	"Completes the Gertrude Stein quote about post-WWI young people: ""You are all a"" this 2-word phrase"	lost generation
51	14279	2010-12-31	NOT JUST AN AD WRITER	$1600	"This controversial Bonbay-born Brit is the author of ""Midnight's Children"" & of the cake slogan ""Naughty but nice"""	Salman Rushdie
52	14280	2010-12-31	WORDS IN EUROPEAN COUNTRIES	$1600	Intense enthusiasm in Bucharest	mania (from Romania)
53	14281	2010-12-31	SCULPTORS	$2000	"This 20th-century sculptor is known for his almost painfully thin figures, like the one seen <a href=""http://www.j-archive.com/media/2010-12-31_DJ_25.jpg"" target=""_blank"">here</a>"	Alberto Giacometti
54	14282	2010-12-31	"WATCH ""ING"" THE MOVIES"	$2000	"(<a href=""http://www.j-archive.com/media/2010-12-31_DJ_10.jpg"" target=""_blank"">Jimmy of the Clue Crew reads the clue in Bethel, New York.</a>) This 2009 movie is the true story of Elliot Tiber who helped launch a legendary rock concert, but he was only trying to get business for his family's hotel here in Bethel, New York"	Taking Woodstock
55	14283	2010-12-31	LOST	$2000	King Ferdinand of Nevarre vows to basically set up a 3-year He-Man Woman-Haters Club in this Shakespeare play	Love's Labour's Lost
56	14284	2010-12-31	NOT JUST AN AD WRITER	$2000	He left advertising to get a Ph.D. with a thesis on detective novels & then created his own Shamus, Spenser	(Robert B.) Parker
57	14285	2010-12-31	WORDS IN EUROPEAN COUNTRIES	$2000	Longing in Ljubljana	love (from Slovenia)
58	14286	2010-12-30	THE 1990s	$200	In 1993 General Beg of this countrv said yes, we have nukes & we'll use them on India if we have to	Pakistan
59	14287	2010-12-30	STUPID ANSWERS	$200	Irene Cara catapulted to fame after starring in this 1980 film	Fame
60	14288	2010-12-30	I READ IT ON A BUMPER STICKER	$200	"""Save water"" do this ""with a friend"""	shower
61	14289	2010-12-30	BIRD-OLOGY	$200	Hands off the hooded pitohui! With wings & skin laced with toxin, it's one of the few birds known to be this	poisonous (or venomous)
62	14290	2010-12-30	PORTUGUYS	$200	Lisbon-born Pedro Juliao didn't last long on this Job; he was killed by a falling ceiling 8 months after becoming John XXI	the pope
63	14291	2010-12-30	"""EH""?"	$200	2 baseball games played in a row	a double header
64	14292	2010-12-30	THE 1990s	$400	(Legal commentator Jack Ford gives the clue) The 1995 murder trial that ended in his acquittal was commonly called The Trial of the Century; the 1997 civil trial that found him liable got almost as much attention	O.J. Simpson
65	14293	2010-12-30	STUPID ANSWERS	$400	"1975's ""Killer Queen"" was the first Top 40 pop hit for this group"	Queen
66	14294	2010-12-30	I READ IT ON A BUMPER STICKER	$400	"""What if"" this kids' dance song ""is what it's all about?"""	"""The Hokey Pokey"""
67	14295	2010-12-30	BIRD-OLOGY	$400	Like mammals, birds are this; their body temperature always remains about the same	warm blooded
