	index	Air Date	Category	Value	Question	Answer
0	82115	2005-12-30	NONFICTION	$200	"In 1995 John Gray had 2 books on the top 10 list of the year: ""Mars and Venus in the Bedroom"" at No. 7 & this one at No. 1"	Men Are from Mars, Women Are from Venus
1	82116	2005-12-30	SCARY MOVIES	$200	Max von Sydow played Father Merrin, the title character of this devilish 1973 scarefest	The Exorcist
2	82117	2005-12-30	FASHION HISTORY	$200	No spy should be without one of these aptly named outer garments first designed for British soldiers in WWI	a trench coat
3	82118	2005-12-30	THE MISSIVES OF OCTOBER	$200	Oct. 1, 1908: Dear Mom, this car's been introduced at $850 but I bet mass production can lower it to about $300 by 1926	the Model T Ford
4	82119	2005-12-30	CONTAINERS	$200	Stages in Chicken of the Sea tuna processing include thawing; evisceration; cleaning; & filling & sealing these	cans
5	82120	2005-12-30	COLORFUL RHYME TIME	$200	A scarlet member of the Flinstone family	a red Fred
6	82121	2005-12-30	NONFICTION	$400	"In 1965 Johnny Carson wrote ""Happiness is a Dry Martini""; 3 years earlier, Charles Schulz wrote ""Happiness is"" this"	a Warm Puppy
7	82122	2005-12-30	SCARY MOVIES	$400	Annie hitches a ride to Camp Crystal Lake at the beginning of this 1980 horror classic	Friday the 13th
8	82123	2005-12-30	FASHION HISTORY	$400	Although this company's name was trademarked in 1871, its logo didn't appear on men's underwear until 1938	Fruit of the Loom
9	82124	2005-12-30	THE MISSIVES OF OCTOBER	$400	Oct. 15, 1965: Dear Dad, you won't believe it but at a peace rally today David Miller burned this, so the FBI's after him	his draft card
10	82125	2005-12-30	CONTAINERS	$400	"A round container for margarine; Parkay has a ""talking"" one"	a tub
11	82126	2005-12-30	COLORFUL RHYME TIME	$400	A tan urban area	a brown town
12	82127	2005-12-30	NONFICTION	$600	"""My Stroke of Luck"" was this famed actor's account of his recovery from a 1996 stroke"	Kirk Douglas
13	82128	2005-12-30	SCARY MOVIES	$600	At about 40, Barbra Streisand played this title girl who disguises herself as a yeshiva boy & sings	Yentl
14	82129	2005-12-30	FASHION HISTORY	$600	"This word for a woman's shirt may be from Old High German for ""naked"""	blouse
15	82130	2005-12-30	THE MISSIVES OF OCTOBER	$600	Oct. 14, 1947: Dear Bro, I hear that today this man traveled over 662 MPH in a Bell X-1	Chuck Yeager
16	82131	2005-12-30	CONTAINERS	$600	"It's the trademark name of the stoneware slow cooker seen <a href=""http://www.j-archive.com/media/2005-12-30_J_28.jpg"" target=""_blank"">here</a>"	a Crock Pot
17	82132	2005-12-30	COLORFUL RHYME TIME	$600	Dark blue turkey sauce	navy gravy
18	82133	2005-12-30	NONFICTION	$1,400	"This 1988 bestseller was subtitled ""From the Big Bang to Black Holes"""	A Brief History of Time
19	82134	2005-12-30	SCARY MOVIES	$800	Gunnar Hansen brought the character of Leatherface to life in this 1974 thriller	The Texas Chainsaw Massacre
20	82135	2005-12-30	FASHION HISTORY	$800	"This French designer's ""New Look"" for 1947 included a narrow waist & padded hips"	Christian Dior
21	82136	2005-12-30	THE MISSIVES OF OCTOBER	$800	Oct. 29, 1929: Sister Dear, things are gloomy in New York as this lost 31 points, or 12 percent; I need a stiff toddy	the Dow Jones
22	82137	2005-12-30	CONTAINERS	$800	It's a 4-letter word for a coffin, especially as it's being carried	a pall
23	82138	2005-12-30	COLORFUL RHYME TIME	$800	A pale green sword	a jade blade
24	82139	2005-12-30	NONFICTION	$1000	"The No. 1 nonfiction book of 1948 was ""Crusade in Europe"" by this American general"	Eisenhower
25	82140	2005-12-30	SCARY MOVIES	$1000	"The third film in this scary series was subtitled ""Dream Warriors"""	A Nightmare on Elm Street
26	82141	2005-12-30	FASHION HISTORY	$1000	In 1939 she closed her Paris shop & spent the rest of World War II in the Ritz Hotel with her German boyfriend	(Coco) Chanel
27	82142	2005-12-30	THE MISSIVES OF OCTOBER	$1000	Oct. 24, 1648: Dear Johann, I can't believe this long war is over now that the Peace of Westphalia has been concluded	the Thirty Years' War
28	82143	2005-12-30	COLORFUL RHYME TIME	$1000	A pigmentless African ungulate	an albino rhino
29	82144	2005-12-30	THE UNITED NATIONS	$400	It's the main deliberative body of the U.N.	the General Assembly
30	82145	2005-12-30	POETIC FILL IN THE BLANK	$400	"Robert Frost: ""Stopping by woods on a snowy ____"""	evening
31	82146	2005-12-30	ON COMMISSIONS	$400	The Amateur Radio Service is part of this government agency, abbreviated the FCC	the Federal Communications Commission
32	82147	2005-12-30	MICHAEL J. FOX	$400	Michael was raised in the small town of Burnaby, a suburb of this port city of British Columbia	Vancouver
33	82148	2005-12-30	BACK TO THE FUCHSIA	$400	The flowering plant known as the fuchsia is named for Leonhard Fuchs, a 16th c. botanist of this nationality	German
34	82149	2005-12-30	"""SPIN"" CITY"	$400	The PR guy whose job it is to put bad news in the best possible light	a spin doctor
35	82150	2005-12-30	THE UNITED NATIONS	$800	Audrey Hepburn became a goodwill ambassador for this U.N. group in 1988 & introduced it to Roger Moore	UNICEF
36	82151	2005-12-30	POETIC FILL IN THE BLANK	$800	"1618, John Donne: ""____, be not proud"""	Death
37	82152	2005-12-30	ON COMMISSIONS	$800	Insider trading?  Prepare to get smacked upside the head by this commission set up in 1934	the Securities & Exchange Commission
38	82153	2005-12-30	MICHAEL J. FOX	$800	Michael hit the big time in the 1980s as Alex Keaton on this TV series	Family Ties
39	82154	2005-12-30	BACK TO THE FUCHSIA	$800	Gardeners often plant fuchsias to attract these small birds of the family Trochilidae	hummingbirds
40	82155	2005-12-30	"""SPIN"" CITY"	$800	One prick from this & Sleeping Beauty took a snooze	a spinning wheel (or spindle)
41	82156	2005-12-30	THE UNITED NATIONS	$1200	"(<a href=""http://www.j-archive.com/media/2005-12-30_DJ_25.jpg"" target=""_blank"">Kelly of the Clue Crew reports from Lubeck, Germany.</a>)  In 1987, this U.N. organization placed Lubeck's entire Altstadt, or old town, on the World Heritage List"	UNESCO
42	82157	2005-12-30	POETIC FILL IN THE BLANK	$1200	"1839, a Henry Wadsworth Longfellow title: ""The Village ____"""	Blacksmith
43	82158	2005-12-30	ON COMMISSIONS	$1200	The Nevada State Athletic Commission is mainly concerned with this sport	boxing
44	82159	2005-12-30	MICHAEL J. FOX	$1200	"Michael made 3 ""Back to the Future"" films as this chronologically challenged character"	Marty McFly
45	82160	2005-12-30	BACK TO THE FUCHSIA	$1200	Because of its drooping flowers, the fuchsia is also known by this name shared with a variety of women's jewelry	earrings
46	82161	2005-12-30	"""SPIN"" CITY"	$1200	A small keyboard instrument that originally used quills to pluck the strings	a spinet
47	82162	2005-12-30	THE UNITED NATIONS	$1600	This nomadic group also called the Romany has had non-governmental org. status at the U.N. since 1979	the Gypsies
48	82163	2005-12-30	POETIC FILL IN THE BLANK	$1600	"1871, Lewis Carroll: ""The Walrus and the ____"""	Carpenter
49	82164	2005-12-30	ON COMMISSIONS	$1,000	A commission established in 1987 sponsored 2 of these in '88, 3 in '92, 2 in '96, 3 in 2000 & 3 in '04	presidential debates
50	82165	2005-12-30	MICHAEL J. FOX	$1600	Michael voiced this boylike mouse in 2 hit films	Stuart Little
51	82166	2005-12-30	BACK TO THE FUCHSIA	$1600	One plant disease fuchsias are susceptible to is this one that sounds like oxidized metal	rust
52	82167	2005-12-30	"""SPIN"" CITY"	$1,200	Native to Asia, its species name is oleracea	spinach
53	82168	2005-12-30	THE UNITED NATIONS	$2000	"This secretary-general is <a href=""http://www.j-archive.com/media/2005-12-30_DJ_27.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2005-12-30_DJ_27a.jpg"" target=""_blank"">here</a> on the cover of a 1956 magazine"	Dag Hammarskjold
54	82169	2005-12-30	POETIC FILL IN THE BLANK	$2000	"1842, Robert Browning: ""My Last ____"""	Duchess
55	82170	2005-12-30	ON COMMISSIONS	$2000	"Decade of the Kerner Commission, which warned of us moving toward ""two societies... separate and unequal"""	the 1960s
56	82171	2005-12-30	MICHAEL J. FOX	$2000	"In 1991, Michael directed ""The Trap"", an episode in this spooky HBO horror anthology series"	Tales from the Crypt
57	82172	2005-12-30	BACK TO THE FUCHSIA	$2000	A variety of fuchsia found at the southern tip of South America bears the name of this Portuguese explorer	Magellan
58	82173	2005-12-30	"""SPIN"" CITY"	$2000	"In ""Ethics"", this philosopher observed that ""Man is a social animal"""	Spinoza
59	82174	2005-12-29	NATIONAL GEOGRAPHIC	$200	1 of the 2 landlocked countries of South America, its judicial capital is Sucre	Bolivia
60	82175	2005-12-29	PREMIERE	$200	This Beatles film premiered in London on July 6, 1964	A Hard Day's Night
61	82176	2005-12-29	BETTER HOMES & GARDENS	$200	What's now its South Lawn was purchased in the 1790s from tobacco planter Davy Burns	the White House
62	82177	2005-12-29	BON APPETIT	$200	Often paired with a grilled cheese sandwich, it was the most popular of Campbell's original 21 soups in 1897	tomato
63	82178	2005-12-29	"PLAY ""BOY"""	$200	An accomplished young man, like Batman's Robin	a boy wonder
64	82179	2005-12-29	MAGAZINES	$200	The women's version of this magazine also has a swimsuit edition	Sports Illustrated
65	82180	2005-12-29	NATIONAL GEOGRAPHIC	$400	This nation is composed of 4 provinces: Sind, Baluchistan, the NW Frontier province & Punjab	Pakistan
66	82181	2005-12-29	PREMIERE	$400	When this 1995 film premiered in Scotland, director Mel Gibson wore a kilt & danced the Highland Fling	Braveheart
67	82182	2005-12-29	BETTER HOMES & GARDENS	$400	This U.S. city is home to the Flemish Renaissance revival mansion of beer baron Capt. Frederick Pabst	Milwaukee
