	index	Air Date	Category	Value	Question	Answer
0	54910	2007-12-31	"""X"" IN THE CITY"	$200	It's the capital of Nova Scotia	Halifax
1	54911	2007-12-31	CELEBRITY AKA	$200	It's the real last name of Nicolas Cage--& of his famous uncle	Coppola
2	54912	2007-12-31	THE INTERNET	$200	Use your digital jukebox software to connect to this No. 1 online music store	iTunes
3	54913	2007-12-31	ANIMALS	$200	One in every 6 known bird species makes its home in this rainforest	the Amazon
4	54914	2007-12-31	MY DREAM HOUSE	$200	"In this style of pre-Revolutionary Americans, I like the Southern <a href=""http://www.j-archive.com/media/2007-12-31_J_26.jpg"" target=""_blank"">version</a> with brick exterior & side chimneys"	Colonial
5	54915	2007-12-31	5-LETTER WORDS	$200	"You probably made your first entrance through this ""canal"""	birth
6	54916	2007-12-31	"""X"" IN THE CITY"	$400	For over 75 years, a shrimp festival & blessing of the fleet have kicked off shrimping season in this Mississippi city	Biloxi
7	54917	2007-12-31	CELEBRITY AKA	$400	"Destiny Hope Cyrus, Billy Ray's kid & star of TV's ""Hannah Montana"", now goes by this first name"	Miley
8	54918	2007-12-31	THE INTERNET	$400	"Names for this keyboard symbol include ""cat's tail"" in Finnish & ""Strudel"" in Hebrew"	the @ sign
9	54919	2007-12-31	ANIMALS	$400	Sputniks 5, 6, 9 & 10 also carried these animals into space, & most were recovered alive	dogs
10	54920	2007-12-31	MY DREAM HOUSE	$400	I'll entertain royally with a house in this style named for a 19th c. queen, with its welcoming front porch	Victorian
11	54921	2007-12-31	5-LETTER WORDS	$400	A command to your pooch to retrieve something	fetch
12	54922	2007-12-31	"""X"" IN THE CITY"	$600	"Famous for temple ruins, this city on the site of Thebes has been called ""The World's Greatest Open-Air Museum"""	Luxor
13	54923	2007-12-31	CELEBRITY AKA	$600	Yes Sir, his real name is Reginald Dwight	Elton John
14	54924	2007-12-31	THE INTERNET	$600	Ordinary analog phone lines that deliver a low-cost broadband data connection use this 3-letter technology	DSL
15	54925	2007-12-31	ANIMALS	$600	Got one of these odorous animals also known as a polecat as a pet?  Call your humane society to make sure it's legal	a skunk
16	54926	2007-12-31	MY DREAM HOUSE	$600	"<a href=""http://www.j-archive.com/media/2007-12-31_J_28.jpg"" target=""_blank"">This</a> is it: the classic L shape & low-pitched gable roof of this house named for a Western dwelling"	a ranch house
17	54927	2007-12-31	5-LETTER WORDS	$600	You have one of these, aka a heartbeat, I assume	pulse
18	54928	2007-12-31	"""X"" IN THE CITY"	$1,000	Averages for this U.S. city are 7.66 inches of rain, a daily high temperature of 85, & 325 sunny days per year	Phoenix
19	54929	2007-12-31	CELEBRITY AKA	$800	"The movies' original ""Alfie"", he was originally named Maurice Micklewhite"	Michael Caine
20	54930	2007-12-31	THE INTERNET	$800	This 4-letter certification is given for equipment that uses the IEEE 802.11 standard	Wi-Fi
21	54931	2007-12-31	ANIMALS	$800	"Critters of the Pleistocene epoch include the mammoth & this ""breast tooth"" relative"	mastodon
22	54932	2007-12-31	MY DREAM HOUSE	$800	Why hold back--tower, stone, ornamentation, I want a home in the style of one of these French mansions	a château
23	54933	2007-12-31	5-LETTER WORDS	$800	"To perform this kids' activity ""inside the lines"" is to conform; to do it ""outside the lines"" is to be a free spirit"	color
24	54934	2007-12-31	"""X"" IN THE CITY"	$1000	Love to shop?  This largest South Dakota city has the largest shopping center between Denver & Minneapolis	Sioux Falls
25	54935	2007-12-31	CELEBRITY AKA	$1000	"When she's ""got mail"", we wonder if it's addressed to Margaret Hyra"	Meg Ryan
26	54936	2007-12-31	THE INTERNET	$1000	Tim Berners-Lee helped create the World Wide Web at this particle physics lab near Geneva	CERN
27	54937	2007-12-31	ANIMALS	$1000	"""Dachs"", as in ""Dachshund"", is German for this burrowing animal"	the badger
28	54938	2007-12-31	MY DREAM HOUSE	$1000	"I'm going to use this smallish lot economically, putting up <a href=""http://www.j-archive.com/media/2007-12-31_J_30.jpg"" target=""_blank"">this</a> kind of house with tiers only one half-story apart"	a split-level
29	54939	2007-12-31	5-LETTER WORDS	$1000	A form of matter--solid, liquid or gas	state (phase accepted)
30	54940	2007-12-31	PATRONS OF THE ARTS	$400	7 National Medals of Arts have gone to corporate patrons of the arts, like Exxon, Sara Lee & this card company	Hallmark
31	54941	2007-12-31	THE BLUES	$400	They play their major league home games at Rogers Centre	the Blue Jays
32	54942	2007-12-31	GREAT ALEXANDERS	$400	Pull out a sawbuck & you'll see his portrait	Alexander Hamilton
33	54943	2007-12-31	APPROXIMATE WEIGHTS & MEASURES	$400	As a verb, it means to squeeze, like a baby's cheek; as a noun, a small quantity, like salt	pinch
34	54944	2007-12-31	ASSASSIN & VICTIM	$400	Marcus Junius Brutus et al. (44 B.C.)	Julius Caesar
35	54945	2007-12-31	"UNDER THE ""C"""	$400	The modern Hebrew & Arabic alphabets consist only of these types of letters	consonants
36	54946	2007-12-31	PATRONS OF THE ARTS	$800	Gustave Caillebotte was the main backer of several of these exhibitions, & his own work is kind of in that style	Impressionist
37	54947	2007-12-31	THE BLUES	$800	"In the movie version of ""Devil in a Blue Dress"", he played detective Easy Rawlins"	Denzel Washington
38	54948	2007-12-31	GREAT ALEXANDERS	$800	Some of the moons of Uranus are named for characters created by this British poet & essayist	(Alexander) Pope
