	index	Air Date	Category	Value	Question	Answer
0	41106	2008-12-31	BALLET MUSIC	$200	"He composed the music for the ballet ""Ghost Town"" 4 years before he teamed up with Oscar Hammerstein"	(Richard) Rodgers
1	41107	2008-12-31	MOVIE CALENDAR	$200	It seems like I've seen this Bill Murray-Andie MacDowell film about a zillion times	Groundhog Day
2	41108	2008-12-31	THINGAMAJIGS	$200	Heloise hints that this cosmetic tool won't get gunky if you use it on lashes before applying mascara, not after	an eyelash curler
3	41109	2008-12-31	ALL ABOUT PRESIDENTS	$200	His widow Martha once gave the O.K. for him to be re-entombed in the U.S. Capitol; a nephew later nixed the idea	Washington
4	41110	2008-12-31	FUNNY-SOUNDING FOOD	$200	This alliterative cut of beef comes from the hindquarters	rump roast
5	41111	2008-12-31	"""IT"" IS A 7-LETTER WORD"	$200	"Proverbially, this ""is the soul of wit"""	brevity
6	41112	2008-12-31	BALLET MUSIC	$400	"""Flotezart"" is the fanciful title of a ballet danced to his flute music"	Mozart
7	41113	2008-12-31	MOVIE CALENDAR	$400	Michael Myers kills his sister on the title occasion of this 1978 horror film	Halloween
8	41114	2008-12-31	THINGAMAJIGS	$400	These sewing shears weren't named for a color but for a verb meaning to finish edges with a zigzag pattern	pinking
9	41115	2008-12-31	ALL ABOUT PRESIDENTS	$400	He met with Leonid Brezhnev on the first ever presidential visit to Moscow	Nixon
10	41116	2008-12-31	FUNNY-SOUNDING FOOD	$400	In Britain, toad-in-the-hole is this meat item baked in a coating of batter	a sausage
11	41117	2008-12-31	"""IT"" IS A 7-LETTER WORD"	$400	A native or naturalized member of a state or nation	a citizen
12	41118	2008-12-31	BALLET MUSIC	$600	"The ballet called ""Viva"" this composer features variations on ""La Traviata"""	Verdi
13	41119	2008-12-31	MOVIE CALENDAR	$600	Will Smith & Jeff Goldblum save the world from an alien invasion in this 1996 thriller	Independence Day
14	41120	2008-12-31	THINGAMAJIGS	$600	"Football coach Amos Alonzo Stagg had the right ""stuff"" to invent one of these for tackling practice"	a dummy
15	41121	2008-12-31	ALL ABOUT PRESIDENTS	$600	By 1905 football had gotten so violent that this U.S. president urged rule changes	Teddy Roosevelt
16	41122	2008-12-31	FUNNY-SOUNDING FOOD	$600	"""Sufferin""' through this lima bean & corn mixture can be quite an endeavor"	succotash
17	41123	2008-12-31	"""IT"" IS A 7-LETTER WORD"	$600	A marauding linebacker, or CNN's Wolf	a blitzer
18	41124	2008-12-31	BALLET MUSIC	$800	"A Twyla Tharp ballet is danced to his Symphony No. 7 in A Major, known as his ""Dance Symphony"""	Ludwig von Beethoven
19	41125	2008-12-31	MOVIE CALENDAR	$800	Jack Skellington, the Pumpkin King, delivers toys to kids in this Tim Burton film	The Nightmare Before Christmas
20	41126	2008-12-31	THINGAMAJIGS	$800	Musicians use this thingamajig, also known as a pick, to pluck the strings of a lute or a guitar	a plectrum
21	41127	2008-12-31	ALL ABOUT PRESIDENTS	$1,200	"This ""Big Bill"" married the daughter of a former law partner of Rutherford B. Hayes"	William Howard Taft
22	41128	2008-12-31	FUNNY-SOUNDING FOOD	$800	"In ""Shiskabugs"" Bugs Bunny is almost turned into this German rabbit stew"	hasenpfeffer
23	41129	2008-12-31	"""IT"" IS A 7-LETTER WORD"	$800	"A notable one of these read, ""Here lies Ann Mann, who lived an old maid but died an old Mann"""	an epitaph
24	41130	2008-12-31	BALLET MUSIC	$1000	"Originally titled ""Le Palais de Cristal"", ""Symphony in C"" is danced to music by this ""Carmen"" composer"	Bizet
25	41131	2008-12-31	MOVIE CALENDAR	$1000	Unlucky things happen at Camp Crystal Lake in this 1980 scarefest	Friday the 13th
