	index	Air Date	Category	Value	Question	Answer
0	0	2012-01-27	VISITING THE CITY	$200	Experience Little Havana along Calle Ocho, then get sprayed at the Seaquarium	Miami
1	1	2012-01-27	PANTS	$200	A synonym for freight, or pants with large bellows pockets on the sides & 2 extra-large patch pockets in front	cargo pants
2	2	2012-01-27	CHILD ACTORS	$200	"Henry Thomas, who played this role in ""E.T."", turned 40 in 2011"	Elliott
3	3	2012-01-27	STUPID ANSWERS	$200	On the west, Central Park is bounded by this street	Central Park West
4	4	2012-01-27	LESSER-KNOWN SCIENTISTS	$200	In 1779 Dutch scientist Jan Ingenhousz published his discovery of this process in green plants	photosynthesis
5	5	2012-01-27	THE TRUTH LIES THEREIN	$200	Symbol for the second-lightest element	He
6	6	2012-01-27	VISITING THE CITY	$400	First the Royal Ontario Museum, then for lunch, maybe one of the 5 Chinatowns	Toronto
7	7	2012-01-27	PANTS	$400	Calf-length pants styled in colorful island prints are named for this type of Hawaiian party	luau pants
8	8	2012-01-27	CHILD ACTORS	$400	Scott Lookinland played his father, Mike, in the TV movie about the making of this sitcom	The Brady Bunch
9	9	2012-01-27	STUPID ANSWERS	$400	This building in our national capital was originally designed by Dr. William Thornton	the Capitol
10	10	2012-01-27	LESSER-KNOWN SCIENTISTS	$400	"The ""crown jewels"" of Alcoa are the bits of this metal that chemist Charles Hall isolated when he was just 22"	aluminum
11	11	2012-01-27	THE TRUTH LIES THEREIN	$400	"Old school GPS on a shopping mall map:  ""You Are"" this"	here
12	12	2012-01-27	VISITING THE CITY	$600	"Take the ""Sound of Music"" tour or visit the Hagenauer House, once home to the Mozart family"	Salzburg
13	13	2012-01-27	PANTS	$600	When introduced, these wide, baggy pants were 4 inches longer than usual knicker length	plus fours
14	14	2012-01-27	CHILD ACTORS	$600	"At age 11, this future portrayer of Bella Swan was Jodie Foster's daughter in ""Panic Room"""	Kristen Stewart
15	15	2012-01-27	STUPID ANSWERS	$600	This was first imprinted in black on individual M&Ms in 1950	M
16	16	2012-01-27	LESSER-KNOWN SCIENTISTS	$600	Gowin Knight's 1745 development of a better way to magnetize steel allowed him to improve this device used by mariners	a compass
17	17	2012-01-27	THE TRUTH LIES THEREIN	$600	"Old school CBS history show:  ""You Are"" this"	There
18	18	2012-01-27	VISITING THE CITY	$800	There's a great opera house on Bennelong Point from which you can see Fort Denison in the harbor	Sydney
19	19	2012-01-27	PANTS	$1,400	Tight-fitting pants patterned after those worn by bullfighters aren't usually called matador pants but these	toreador pants
20	20	2012-01-27	CHILD ACTORS	$800	"This kid, with a familiar last name, is seen <a href=""http://www.j-archive.com/media/2012-01-27_J_22.wmv"">here</a> in a 2010 film"	Jaden Smith
21	21	2012-01-27	STUPID ANSWERS	$800	"The second verse of this classic American song begins, ""O beautiful for pilgrim feet"""	"""America the Beautiful"""
22	22	2012-01-27	LESSER-KNOWN SCIENTISTS	$800	Joseph Lagrange insisted on 10 as the basic unit when standardizing French weights & measures, creating this system	the metric system
23	23	2012-01-27	THE TRUTH LIES THEREIN	$800	Colt controller	rein
24	24	2012-01-27	VISITING THE CITY	$1000	Arriving at the train station built for the 1992 World's Fair, check out the Alcazar Palace & Biennial of Flemenco art	Seville
25	25	2012-01-27	PANTS	$1000	The baggy shalwar is always in fashion in this country on India's northwest border	Pakistan
