	index	Air Date	Category	Value	Question	Answer
0	27753	2009-12-31	"YOU ""AST"" FOR IT"	$200	In 1984 the rhythmic type of this became an Olympic medal sport	gymnastics
1	27754	2009-12-31	HISTORICAL WHAT WERE THEY THINKING?	$200	"This 1984 candidate saying, ""Mr. Reagan will raise taxes, and so will I"" was a bit too much honesty"	Mondale
2	27755	2009-12-31	MARSHALL ARTS	$200	"This Marshall seen <a href=""http://www.j-archive.com/media/2009-12-31_J_24.jpg"" target=""_blank"">here</a> was a groundbreaking attorney and judge"	Thurgood Marshall
3	27756	2009-12-31	GOOD HOUSEKEEPING	$200	"(<a href=""http://www.j-archive.com/media/2009-12-31_J_05.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from inside the Good Housekeeping Institute in New York.</a>) 2009 is the 100th anniversary of this trusted sign of quality; the first recipients included some forgotten names, and some still familiar ones like <a href=""http://www.j-archive.com/media/2009-12-31_J_05a.jpg"" target=""_blank"">Hartz Mountain</a>"	the Good Housekeeping Seal of Approval
4	27757	2009-12-31	THAT AIN'T IN YOUR TYPICAL COUNTRY SONG	$400	I never grew up poor / I have no old blue jeans / My suits are all from these siblings' store / In business since 1818	Brooks Brothers
5	27758	2009-12-31	"YOU ""AST"" FOR IT"	$400	Many believe that the dinosaurs died out after a giant one of these hit the earth	an asteroid
6	27759	2009-12-31	HISTORICAL WHAT WERE THEY THINKING?	$400	On Oct. 12, 1492 this captain thought he was on an island near Japan --not exactly	Columbus
7	27760	2009-12-31	MARSHALL ARTS	$400	In 1831 Marshall Hall showed that these tiny blood vessels bring the blood into contact with the tissue	capillaries
8	27761	2009-12-31	GOOD HOUSEKEEPING	$400	"(<a href=""http://www.j-archive.com/media/2009-12-31_J_06.jpg"" target=""_blank"">Kelly of the Clue Crew reports from inside the Good Housekeeping Institute in New York.</a>) Fabrics are put through tens of thousands of cycles through a Wyzenbeek machine, which measures abrasion; that's a good test for this lasting quality from the Latin for 'hard'"	endurance (durability accepted)
9	27762	2009-12-31	LITERARY NUMBERS	$600	"""___, Charing Cross Road"""	84
10	27763	2009-12-31	"YOU ""AST"" FOR IT"	$600	I'm completely shocked & horrified, I'm this 6-letter word	aghast
11	27764	2009-12-31	HISTORICAL WHAT WERE THEY THINKING?	$600	Note to this Aztec ruler who thought Cortes might be Quetzalcoatl--if he can't spell Quetzalcoatl, he's probably not	Montezuma
12	27765	2009-12-31	MARSHALL ARTS	$600	"VP under Wilson, Thomas Marshall said, ""What this country needs is a really good five-cent"" one of these"	a cigar
13	27766	2009-12-31	GOOD HOUSEKEEPING	$600	"(<a href=""http://www.j-archive.com/media/2009-12-31_J_10.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from inside the Good Housekeeping Institute in New York.</a>) At ""Goodhousekeeping"" they use <a href=""http://www.j-archive.com/media/2009-12-31_J_10a.jpg"" target=""_blank"">this</a> cylinder that lets moms and dads know if a toy presents this type of hazard; at home, a toilet paper roll works well, too"	a choking hazard
14	27767	2009-12-31	LITERARY NUMBERS	$800	"""___ Days that Shook the World"""	Ten
15	27768	2009-12-31	"YOU ""AST"" FOR IT"	$800	When it's more than 90% covered by clouds, the sky is said to be this	overcast
16	27769	2009-12-31	HISTORICAL WHAT WERE THEY THINKING?	$800	"This Siberian's surname means ""debauched one""; might have been a little warning for empress Alexandra"	Rasputin
17	27770	2009-12-31	GOOD HOUSEKEEPING	$800	"(<a href=""http://www.j-archive.com/media/2009-12-31_J_12.jpg"" target=""_blank"">Kelly of the Clue Crew reports from inside the Good Housekeeping Institute in New York.</a>) Looking closely at the hair follicle, a scope that magnifies 7,000 times is used to evaluate a product that claims to repair <a href=""http://www.j-archive.com/media/2009-12-31_J_12a.jpg"" target=""_blank"">this</a>, also called trichoptilosis"	split ends
18	27771	2009-12-31	LITERARY NUMBERS	$1000	"""___ Weeks in a Balloon"""	Five
19	27772	2009-12-31	THAT AIN'T IN YOUR TYPICAL COUNTRY SONG	$1000	This 6-letter Tony Stewart sport / Don't thrill me at all / July is too short / That's when Wimbledon calls	NASCAR
20	27773	2009-12-31	"YOU ""AST"" FOR IT"	$2,600	Building material for a column, or a term describing smooth skin	alabaster
21	27774	2009-12-31	HISTORICAL WHAT WERE THEY THINKING?	$1000	"This Roman emperor whose name means ""little boot"" may have had some family issues in making his sister a goddess"	Caligula
22	27775	2009-12-31	MARSHALL ARTS	$1000	"Marshall McLuhan summarized the influence of TV & computers with his aphorism ""The medium is"" this"	the message
