	index	Air Date	Category	Value	Question	Answer
0	68619	2006-12-29	19th CENTURY LIT	$200	"His story ""William Wilson"" mentions some ushers--but they're not the ones whose house is falling in another story"	(Edgar Allan) Poe
1	68620	2006-12-29	ENTERTAINMENT AWARDS	$200	"In 2005 this creator of ""Jeopardy!"" was given a lifetime achievement award at the Daytime Emmys"	Merv Griffin
2	68621	2006-12-29	THE SHORT FORM	$200	"In the journalism term ""nut graf"", ""graf"" is a shortened form of this"	paragraph
3	68622	2006-12-29	MARLIN	$200	Marlin Firearms of North Haven, Connecticut manufactures these in 12 & 20 gauge varieties	shotguns
4	68623	2006-12-29	"BRAND ""O"""	$200	"You can read ""Story O's"" about this cookie on its website"	Oreos
5	68624	2006-12-29	I COULDA BEEN A CONTENDER!	$200	In 1987 reports of plagiarism in his speeches ended this Delaware senator's run for the Democratic presidential nom.	Joe Biden
6	68625	2006-12-29	19th CENTURY LIT	$400	"Her 1869 novel ""Oldtown Folks"" features runaway children instead of runaway slaves"	(Harriet Beecher) Stowe
7	68626	2006-12-29	ENTERTAINMENT AWARDS	$400	In 2005 the 2nd film about this lovable animated ogre was named Best Comedy Film by the People's Choice Awards	Shrek
8	68627	2006-12-29	THE SHORT FORM	$400	"It's what the ""Rep"" is short for in the theater world's Seattle Rep"	repertory
9	68628	2006-12-29	MARLIN	$400	The 4 main types of marlin are the white, the striped, the black & this colorful variety that can grow to 1,000 pounds!	the blue marlin
10	68629	2006-12-29	"BRAND ""O"""	$400	"A line of beauty products once was called ""Oil of"" this; now it's just this"	Olay
11	68630	2006-12-29	I COULDA BEEN A CONTENDER!	$400	His 1972 presidential bid was gaining momentum when he was shot & paralyzed by Arthur Bremer	George Wallace
12	68631	2006-12-29	19th CENTURY LIT	$600	"In this novel, Count Vronsky is ""passionately fond of horses""--& of a married woman who's the title character"	Anna Karenina
13	68632	2006-12-29	ENTERTAINMENT AWARDS	$600	"This late R&B artist's duet with Norah Jones, ""Here We Go Again"", was named record of the year for 2004"	Ray Charles
14	68633	2006-12-29	THE SHORT FORM	$600	"They're the ""apps"" in ""drinks & apps"""	appetizers
15	68634	2006-12-29	MARLIN	$600	Marlin Fitzwater was first appointed White House Press Secretary by this president	Ronald Reagan
16	68635	2006-12-29	"BRAND ""O"""	$600	The dad of TV's Matthew Perry was the sailor in commercials for this men's scent	Old Spice
17	68636	2006-12-29	I COULDA BEEN A CONTENDER!	$600	This former senator & NBA star lost the 2000 Democratic presidential nomination to Al Gore	Bill Bradley
18	68637	2006-12-29	19th CENTURY LIT	$800	"""You are dancing with the only handsome girl in the room"", says Mr. Darcy to his friend in this novel"	Pride and Prejudice
19	68638	2006-12-29	ENTERTAINMENT AWARDS	$800	One of 2 films for which Steven Spielberg won a Best Director Oscar, both in the 1990s	Schindler's List or Saving Private Ryan
20	68639	2006-12-29	THE SHORT FORM	$800	"At prep school, along with Latin & lacrosse, I learned that ""prep"" is short for this"	preparatory
21	68640	2006-12-29	MARLIN	$800	In 2006 Sterling Marlin, a veteran racer on this circuit, got a new ride, the no. 14 Chevrolet	NASCAR
22	68641	2006-12-29	"BRAND ""O"""	$800	Boston lawyer Marcus Urann marketed cranberry sauce under this brand name way back in 1912	Ocean Spray
23	68642	2006-12-29	I COULDA BEEN A CONTENDER!	$1,000	Later veep, this N.Y. governor challenged Nixon for the Republican presidential nomination in 1968	Nelson Rockefeller
24	68643	2006-12-29	19th CENTURY LIT	$1000	"In a poem, he penned, ""In Reading Gaol by Reading Town there is a pit of shame..."""	Oscar Wilde
25	68644	2006-12-29	ENTERTAINMENT AWARDS	$1000	"She won a Golden Globe award for her performance in ""The Fabulous Baker Boys"""	Michelle Pfeiffer
26	68645	2006-12-29	THE SHORT FORM	$1000	Sometimes the regs (these) are so complex, you can't help running afoul of them	the regulations
27	68646	2006-12-29	MARLIN	$1000	"From 1963 to 1985 he was the host of the TV show ""Wild Kingdom"""	Marlin Perkins
28	68647	2006-12-29	"BRAND ""O"""	$1000	"This brand's catchy ""Wiener Jingle"", still used today, was written in 1963"	Oscar Mayer
29	68648	2006-12-29	I COULDA BEEN A CONTENDER!	$1000	"Seen <a href=""http://www.j-archive.com/media/2006-12-29_J_19.jpg"" target=""_blank"">here</a>, this radio talk show host ran unsuccessfully for the Republican presidential nomination in 1996 and 2000"	Alan Keyes
30	68649	2006-12-29	THE MIDDLE AGES	$400	On May 29, 1453 this Byzantine capital was captured by the Turks	Constantinople
31	68650	2006-12-29	FEMALE LEADERS	$400	Chrissie Hynde	The Pretenders
32	68651	2006-12-29	MAO INHIBITORS	$400	During the May 4th movement, Mao criticized the traditional teachings of this man who was born in the 500s B.C.	Confucius
33	68652	2006-12-29	GRAB BAG	$400	"On Nov. 5, 1950 this evangelist began his radio program ""The Hour of Decision""; it's still on the air"	Billy Graham
34	68653	2006-12-29	UNITING THE STATES & CITIES	$400	"The ""Green Mountain"" State absorbs its own capital & renames itself..."	Vermontpelier
35	68654	2006-12-29	"YOU CAN CALL ME ""AL"""	$400	It's a graduate or former student of a school	alumnus
36	68655	2006-12-29	THE MIDDLE AGES	$800	"In 1139 the Church declared this bow a ""murderous art"" & tried to ban its use against Christians"	the crossbow
37	68656	2006-12-29	FEMALE LEADERS	$800	Natalie Maines	The Dixie Chicks
38	68657	2006-12-29	MAO INHIBITORS	$800	After defeating the Kuomintang in 1949, Mao founded the People's Republic of China at this square	Tiananmen Square
39	68658	2006-12-29	GRAB BAG	$800	"This term for a socially inept techie geek first appeared in 1950 in Dr. Seuss's ""If I Ran The Zoo"""	a nerd
40	68659	2006-12-29	UNITING THE STATES & CITIES	$800	"Maryland's largest city unites with ""The Beaver State"" & goes coast to coast to form..."	Baltimoregon
41	68660	2006-12-29	"YOU CAN CALL ME ""AL"""	$800	"Don't ask me what the lyrics mean to <a href=""http://www.j-archive.com/media/2006-12-29_DJ_27.mp3"">this</a> classic kids' song; I don't know what they mean, either"	"""Alouette"""
42	68661	2006-12-29	THE MIDDLE AGES	$1200	In 762 Al-Mansur established this city on the Tigris River as the capital of the Abbasid Caliphate	Baghdad
43	68662	2006-12-29	FEMALE LEADERS	$1200	Janis Joplin	Big Brother and the Holding Company
44	68663	2006-12-29	MAO INHIBITORS	$1200	"Shortly after Mao's death in 1976, the National Party Congress declared this ""Revolution"" had ended"	the Cultural Revolution
45	68664	2006-12-29	GRAB BAG	$1200	A second is defined as the period of 9,192,631,770 oscillations of this element, symbl Cs	cesium
46	68665	2006-12-29	UNITING THE STATES & CITIES	$4,000	"The ""Land Of Enchantment"" state hooks up with South Carolina's capital; enjoy..."	New Mexicolumbia
47	68666	2006-12-29	"YOU CAN CALL ME ""AL"""	$1200	A Vegas casino bears the name of this character from the Tales of Scheherazade	Aladdin
48	68667	2006-12-29	THE MIDDLE AGES	$1600	After the Moors were defeated at Tolosa in 1212, their rule was restricted to this small kingdom in southern Spain	Grenada
49	68668	2006-12-29	FEMALE LEADERS	$1600	Susanna Hoffs	The Bangles
50	68669	2006-12-29	MAO INHIBITORS	$1600	In 1927 Mao battled this leader of the Kuomintang who followed Sun Yat-sen	Chiang Kai-shek
51	68670	2006-12-29	GRAB BAG	$1600	"Latin for ""handy man"", it's the oldest type of human being, according to many anthropologists"	Homo habilis
52	68671	2006-12-29	UNITING THE STATES & CITIES	$1600	Warren Buffett's hometown imports this state's traditional dish of poi, blending to become...	Omahawaii
53	68672	2006-12-29	"YOU CAN CALL ME ""AL"""	$3,000	In 1998 the Pres. of the Czech Republic remarked that he wanted this U.S. Cabinet member to replace him	Madeleine Albright
54	68673	2006-12-29	THE MIDDLE AGES	$2000	Wyclef Jean was a musician from the Fugees; this theologian inspired a 1382 English Bible translation	John Wycliffe
55	68674	2006-12-29	FEMALE LEADERS	$2000	Alison Moyet	Yaz
56	68675	2006-12-29	MAO INHIBITORS	$2000	A 2005 biography says Mao was actually carried for much of this epic trek that began in 1934	The Long March
57	68676	2006-12-29	GRAB BAG	$2000	The Star of Africa is one of 9 large stones & almost 100 smaller ones cut from this diamond found in 1905	the Cullinan Diamond
58	68677	2006-12-29	UNITING THE STATES & CITIES	$2000	"""The Wolverine State"" combines with its college town known for its Wolverines & forms the mighty..."	Michigann Arbor
59	68678	2006-12-29	"YOU CAN CALL ME ""AL"""	$2000	A white robe worn by a priest at mass	an alb
